, Media,Compound,Date,Negative,Neutral,Positive,Tweets_Ago
0,FoxNews,0.25,Thu Jan 03 05:21:00 +0000 2019,0.0,0.905,0.095,1
1,FoxNews,0.7704,Thu Jan 03 05:20:58 +0000 2019,0.0,0.729,0.271,2
2,FoxNews,-0.128,Thu Jan 03 05:20:57 +0000 2019,0.073,0.927,0.0,3
3,FoxNews,0.7704,Thu Jan 03 05:20:57 +0000 2019,0.0,0.729,0.271,4
4,FoxNews,-0.6562,Thu Jan 03 05:20:56 +0000 2019,0.208,0.71,0.082,5
5,FoxNews,-0.5423,Thu Jan 03 05:20:55 +0000 2019,0.23,0.704,0.066,6
6,FoxNews,0.0,Thu Jan 03 05:20:55 +0000 2019,0.0,1.0,0.0,7
7,FoxNews,0.7704,Thu Jan 03 05:20:54 +0000 2019,0.0,0.729,0.271,8
8,FoxNews,-0.128,Thu Jan 03 05:20:54 +0000 2019,0.073,0.927,0.0,9
9,FoxNews,0.3182,Thu Jan 03 05:20:54 +0000 2019,0.0,0.845,0.155,10
10,FoxNews,-0.3182,Thu Jan 03 05:20:53 +0000 2019,0.095,0.905,0.0,11
11,FoxNews,0.0,Thu Jan 03 05:20:53 +0000 2019,0.0,1.0,0.0,12
12,FoxNews,-0.0772,Thu Jan 03 05:20:51 +0000 2019,0.098,0.902,0.0,13
13,FoxNews,-0.4215,Thu Jan 03 05:20:50 +0000 2019,0.23,0.664,0.106,14
14,FoxNews,-0.2732,Thu Jan 03 05:20:50 +0000 2019,0.095,0.905,0.0,15
15,FoxNews,-0.3182,Thu Jan 03 05:20:49 +0000 2019,0.095,0.905,0.0,16
16,FoxNews,-0.2732,Thu Jan 03 05:20:48 +0000 2019,0.095,0.905,0.0,17
17,FoxNews,0.4019,Thu Jan 03 05:20:48 +0000 2019,0.0,0.87,0.13,18
18,FoxNews,0.0,Thu Jan 03 05:20:48 +0000 2019,0.0,1.0,0.0,19
19,FoxNews,-0.2732,Thu Jan 03 05:20:45 +0000 2019,0.095,0.905,0.0,20
20,FoxNews,0.0,Thu Jan 03 05:20:45 +0000 2019,0.0,1.0,0.0,21
21,FoxNews,0.2023,Thu Jan 03 05:20:44 +0000 2019,0.0,0.909,0.091,22
22,FoxNews,-0.3182,Thu Jan 03 05:20:43 +0000 2019,0.095,0.905,0.0,23
23,FoxNews,-0.8442,Thu Jan 03 05:20:42 +0000 2019,0.378,0.622,0.0,24
24,FoxNews,-0.2732,Thu Jan 03 05:20:42 +0000 2019,0.095,0.905,0.0,25
